"positive", "good hotel cocok untuk berlibur bersama orang terkasih"
"negative", "pelayanan dr mulai receptionist sampe room service jelek tdk ramah kamar tdk nyaman pencahayaan kamar mandi tmp tidur semua ga nyaman makanan jg ga enak"
"positive", "roomnya luas cocok banget buat keluarga"
"positive", "suasana menyenangkan bagi anak dengan wifi gratisnya tempat bermain kolam renang"
"negative", "perlengkapan dan sarana kurang"
"positive", "hotel bagus makanan enak bersih ramah"
"positive", "kamarnya luas peralatannya komplot ac bisa kita setting sendiri anak anak senang berlama lama di kolam renang apalagi ada kolam air hangatnya pelayanannya juga bagus kereen deh"
"positive", "menyenangkan bagus kamar luas makanan enak kolam air hangat bisa dipergunakan sangat recommended berharap next liburan bisa dapat promo dan harga diskon"
"negative", "kamar hotel kurang bersih dan keliatan sudah tua banget pintu kamar mandi sudah banyak yang rusak lantai karpet kamar sangat berdebu saluran air di wastafel rusak tiba tiba keluar air kotor dari saluran pembuangan restoran terlalu kecil untuk menampung tamunya yang banyak jadi sempit saat sarapan kolam renang enak ada air panasnya"
"negative", "harap diperhatikan untuk handuk dan sarung bantal krn sudah tidak layak utk hotel sekelas the luxton"
"negative", "pelayanan tidak ramah dan sambutan saat datang juga kurang ramah pelayannan juga lambat"
"positive", "kamar nya besar dan bersih dengan harga promo yg saya dapatkan dari traveloka it is more than worth it"
"positive", "hotel yang pas untuk liburan keluarga makanan enak viewnya oke bgt pelayanan nya ramah ramah tidak nyesel milih tempat ini untuk liburan keluarga"
"positive", "bersih dan nyaman pokoknya mantap"
"positive", "tempat nya nyaman pelayanan baik"
"positive", "keren hotelnya dekat kemana kamarnya sangat bagus"
"negative", "wifi buruk sangat lambat led kekecilan"
"positive", "hotelnya bagus kamarnya bersih nyaman viewnya keren pelayanannya ok liburan pengen di sini lagi"
"negative", "akses menuju hotel harap diperbaiki"
"negative", "mengecewakan tdk sesuai dengan yang diharapkan"
"negative", "kolam renangnya kotor pelayan barunya kurang di brieving masa waktu mau pesan makanan dia tidak tau apa apa lokasi jauh dari mana mana buat beli makanan kecil aja tidak bisa coba dibuatin mini matket khusus di hotel saya minta p k di hotel tidak tersedia sarapannya variasinya dikit banget dan kurang enak"
"negative", "bintang tapi gak ada hair dryer"
"positive", "bagus dan bersih pokoknya mantap"
"positive", "menyenangkan saya pasti menginap lagi di grandia"
"negative", "pintu kamar mandi bunyi dan sedikit bahaya"
"positive", "pelayanan sangat memuaskan kamar yang dipesan udah full kamar di upgrade tanpa menambah biaya"
"positive", "tempatnya nyaman pelayanan ramah dan menyenangkan makan enak"
